B2745;Traction Control Switch Circuit
DTC P0AA1 P0AA4 P0AD9 P0ADD P0AE3;"Hybrid/EV Battery Positive Contactor/Hybrid/EV
Battery Negative Contactor/Hybrid/EV Battery
Precharge Contactor/Battery Charging System
Positive Contactor/Battery Charging System
Contactor(s) Stuck Open/Hybrid/EV Battery System
Contactor(s) Stuck Open/Hybrid/EV Battery Pack
Heater Transistor Control Circuit"
P0AE4 P0D09 P0D0A P1EBD P1EC0 or;"Hybrid/EV Battery Positive Contactor/Hybrid/EV
Battery Negative Contactor/Hybrid/EV Battery
Precharge Contactor/Battery Charging System
Positive Contactor/Battery Charging System
Contactor(s) Stuck Open/Hybrid/EV Battery System
Contactor(s) Stuck Open/Hybrid/EV Battery Pack
Heater Transistor Control Circuit"
P1EC3;"Hybrid/EV Battery Positive Contactor/Hybrid/EV
Battery Negative Contactor/Hybrid/EV Battery
Precharge Contactor/Battery Charging System
Positive Contactor/Battery Charging System
Contactor(s) Stuck Open/Hybrid/EV Battery System
Contactor(s) Stuck Open/Hybrid/EV Battery Pack
Heater Transistor Control Circuit"
DTC P0AA6 or P1AE6;"Hybrid/EV Battery Voltage System Isolation
Lost/Battery Energy Control Module Hybrid/EV
Battery Voltage Isolation Sensor Circuit"
DTC P0ABB P0ABC or P0ABD;Hybrid/EV Battery Voltage Sensor
DTC P0AC1 P0AC2 P0B10 P0B11 P0B13;"Hybrid/EV Battery Low Resolution Current
Sensor/Hybrid/EV Battery High Resolution Current
Sensor"
P1EBA or P1EBB;"Hybrid/EV Battery Low Resolution Current
Sensor/Hybrid/EV Battery High Resolution Current
Sensor"
DTC P0AF8;Hybrid System Voltage
DTC P0AFA or P0AFB;Hybrid/EV Battery System Voltage
DTC P0B3B P0BBB P1B16-P1B2D P1B45-;Hybrid/EV Battery (1-96) Circuit(s)
P1BFE P1E01-P1E06 or P1E4C-P1E8B;Hybrid/EV Battery (1-96) Circuit(s)
DTC P0C78 or P3061;"Hybrid/EV Battery System Precharge Time Too
Long/Hybrid/EV Battery Precharge High Current"
DTC P1A07 P1E93 P1E99 P1E9F P1EA5;"Battery Energy Control Module 5 V Reference
Circuit/Hybrid/EV Battery Interface Control Module
(1-12) 5 V Reference Circuit(s)"
P1FC3 P1FC8 P3035 or P3040;"Battery Energy Control Module 5 V Reference
Circuit/Hybrid/EV Battery Interface Control Module
(1-12) 5 V Reference Circuit(s)"
DTC P1E92 P1E98 P1E9E P1EA4 P1FC9;"Hybrid/EV Battery Interface Control Module (1-12)
Cell Balancing Circuit(s)"
P1FCA P1FCE P3036 or P3041;"Hybrid/EV Battery Interface Control Module (1-12)
Cell Balancing Circuit(s)"
DTC P1EAB or P1EAC;"Battery Energy Control Module Hybrid/EV Battery
Cell High Voltage/Hybrid/EV Battery Cell
Overvoltage Signal Circuit Performance"
DTC P1FD5 P1FF2 P3038-P303A or P3043-;"Hybrid/EV Battery Interface Control Module (1-12)
Voltage Sensor(s)"
P3045;"Hybrid/EV Battery Interface Control Module (1-12)
Voltage Sensor(s)"
DTC P1F17;"System Isolation / Impact Sensor Fault - Hybrid/EV
Battery System Contactors Open"
DTC P0CF4 P0CF6;Control Pilot Circuit
DTC P0CF9 or P0D01;Control Pilot Charging Switch Performance
DTC P0D1F;"Control Module Date/Time Synchronization
Performance"
DTC P0D26;Battery Charger System Precharge Time Too Long
DTC P0D2B or P0D2C;Control Pilot/Status Indicator Control Circuit
DTC P0D3E P0D40;Battery Charger Input Voltage Sensor
DTC P0D4D P0D4F;"Battery Charger Hybrid/EV Battery Output Voltage
Sensor"
DTC P0D58 or P0D59;Proximity Detection Circuit Low/High Voltage
DTC P0D5A;Proximity Detection Circuit Erratic
DTC P0D5C;"Battery Charger Hybrid/EV Battery Output Power
Performance"
DTC P0D5E;Battery Charger System High Voltage Present
DTC P0E61 or P0E65;Battery Charger Enable Circuit
DTC P1EE6;Battery Charger AC Voltage Not Present
DTC C0075;Brake Pedal Position Sensor Performance
DTC C0579 C057A or C057E;Brake Booster Control Module Temperature Sensor
DTC C057F C0582 C058A C0590 C0591;Brake Booster Motor
C0595 C0596 or C1275 C1277;Brake Booster Motor
DTC C0580 or C0594;Brake Booster Motor
DTC C1072;Brake Fluid Level Sensor Circuit
DTC C111C;Low Brake Fluid Indicated
DTC C1278 or C1279;Brake System Data 2 Message Counter Incorrect
DTC C1449;System Configuration Error
DTC P057B P057E P05DC-P05DF or P05E0;Brake Pedal Position Sensor
DTC P0601 P0603 P0604 P0606 P060B or;Control Module
P062F;Control Module
DTC P0642 P06A6 or P06A7;Sensor Reference Voltage
DTC P25C6 or P25C7;Brake Booster Temperature Sensor
DTC B2955;Security Sensor Data Circuit Malfunction
DTC B302A;"Mobile Telephone Communications Interface
Requested Immobilization"
DTC B3031;Security Controller In Learn Mode
DTC B3055;No Transponder Modulation or No Transponder
DTC B305C;"Immobilizer Transponder of Wrong Type
Programmed"
DTC B3060;"Unprogrammed Transponder Identification Code
Received"
DTC B3899;Incorrect Immobilizer Identifier Received
DTC B389A;Environment Identification
DTC B3902;Incorrect Immobilizer Identifier Received
DTC B3924 B3928;Incorrect Environmental Identifier Received
DTC B3935;Transponder Authentication
DTC B3976;Unconfigured Transponder
DTC B3978 B3982;Incorrect Environmental Identifier Received
DTC B3984;Device 1 Environment Identifier Not Programmable
DTC P0513;Immobilizer Key Incorrect
DTC P0633;Immobilizer Key Not Programmed
DTC P162B;"Remote Vehicle Speed Limiting Signal Message
Counter Incorrect"
DTC P1631;Immobilizer Fuel Enable Signal Not Correct
DTC P1649;Immobilizer Security Code Not Programmed
DTC B0158;Ambient Air Temperature Sensor
DTC B0550;Odometer Circuit General Memory Malfunction
DTC B071F;Transmission Range Indicator Internal Malfunction
DTC B124F;MOST Programming Failure
DTC P0071 P0074;Ambient Air Temperature Sensor
DTC P0461 P0464;Fuel Level Sensor
DTC P0521 P0522 or P0523;Engine Oil Pressure Sensor
DTC B305D;Challenge Active Circuit
DTC B3101;Keyless Entry Data Link Circuit
DTC B3105;Keyless Entry Transmitters
DTC B3106;Keyless Entry Data Link
DTC B3109 B3113;Keyless Entry Transmitter (1-5) Battery
DTC B310D B310F;Keyless Entry Transmitter (6-8) Battery
DTC B3119;Keyless Entry Antenna 1
DTC B3120;Keyless Entry Antenna 2
DTC B3121;Keyless Entry Antenna 3
DTC B3122;Keyless Entry Antenna 4
DTC B3123;Keyless Entry Antenna 5
DTC B3124;Keyless Entry Antenna 6
DTC B1395;"Control Module Voltage Reference Output Circuit
Voltage"
DTC B1480;Battery Rundown Protection Circuit Short to Ground
DTC B2545;Backup Lamps Circuit
DTC B255D;Passenger Compartment Lamp Control 2 Circuit
DTC B2570;Trunk Lamp Control Circuit Short to Ground
DTC B2575 or B2699;"Left Headlamp Control Circuit/Right Headlamp
Control Circuit"
DTC B257A;"Headlamp Switch Input Signals Correlation
Malfunction"
DTC B2580;Headlamp High Beam Control Circuit
DTC B2585 or B3867;"Left Park Lamps Control Circuit/Right Park Lamps
Control Circuit"
DTC B2600 or B2605;"Left Daytime Running Lamps Control Circuit Short
to Ground/Right Daytime Running Lamps Control
Circuit Short to Ground"
DTC B2610;Passenger Compartment Dimming 1 Circuit
DTC B2615;"Passenger Compartment Dimming 2 Circuit Short to
Ground"
DTC B2625;"Display Dimming Pulse Width Modulation Output
Circuit Short to Ground"
DTC B3596;Hazard Lamps Request Circuit Malfunction
DTC B3600;"Passenger Compartment Dimming Request Signal
Circuit Voltage"
DTC B3650;"High Beam Request Signal Circuit Performance -
Signal Invalid"
DTC B3806;"High Beam and Headlamp Flash Select Circuit
Malfunction"
DTC B3881 or B3882;Left Tail Lamp Circuit/Right Tail Lamp Circuit
DTC B3883;License Plate Lamp Circuit
DTC B3884;Center High Mounted Stop Lamp Circuit
DTC B3948 or B3949;"Left Front Turn Signal Circuit/Right Front Turn
Signal Circuit"
DTC B3950 or B3951;"Left Rear Turn Signal Circuit/Right Rear Turn
Signal Circuit"
DTC C0277 or C0890;"Brake Pedal Position Sensor Circuit/Control Module
Voltage Reference Output 3 Circuit Voltage"
DTC C0297;Brake Applied Output Circuit Short to Ground
DTC B094B or B094C;"Left Side Object Detection Control Module/Right
Side Object Detection Control Module"
DTC B0954 B0955 B0956 or B0957;Parking Assist Front Sensor Circuits
DTC B0958 B0959 B0960 or B0961;Parking Assist Rear Sensor Circuits
DTC B096B;Parking Assist Switch Parallel Parking Circuit
DTC B096C or B096D;"Parking Assist Side Sensor Left Front
Circuit/Parking Assist Side Sensor Right Front
Circuit"
DTC B0987;Vehicle Direction Camera Indicator Circuit
DTC B1011;System Disabled Information Stored
DTC B1015;Vehicle Identification Number Information
"DTC B101D (DTC set in K109 Frontview
Camera Module)";Electronic Control Unit Hardware
DTC B127B;"Rearview Camera Input Signal Circuit Missing
Reference"
DTC B1405;Control Module Voltage Reference Output 2 Circuit
DTC B356A;"Vehicle Direction Warning Switch Circuit Short to
Ground"
DTC B390C;Long Range Radar Sensor Module
DTC B390D;Frontview Camera Module Incorrect Mounting
DTC P15F6;"Front Object Detection Control Module Torque
Request Signal Message Counter Incorrect"
DTC C1138;"Supply Voltage Goes Below 7 V/Above 16.5
V/Signal Performance"
DTC C1148;Left Park Brake Actuator Circuit
DTC C114C;Park Brake Switch Circuit
DTC C1586;Right Park Brake Actuator Circuit
DTC C1587;Left Park Brake Actuator
DTC C1588;Right Park Brake Actuator
DTC B1474 or B3849;"Passenger Exterior Door Handle Switch Circuit
Short to Ground/Driver Exterior Door Handle
Switch Circuit Short to Ground"
DTC B1534 or B1535;"Left Rear Door Handle Switch Circuit Short to
Ground/Right Rear Door Handle Switch Circuit
Short to Ground"
DTC B297B or B297C;Driver Door Open Switch Circuit Not Plausible
DTC B3125 B3130 or B3135;"Driver Door Only Unlock Circuit/All Doors Unlock
Circuit/All Doors Lock Circuit"
DTC B3140 B3145 B3150 or B3155;Door Unlock Switch Circuits
DTC B3265;Trunk Lid Unlatch Output Circuit Short to Ground
DTC B3618;"Exterior Liftgate Unlatch Switch Circuit
Malfunction"
DTC P0CCC P0CCE or P0CCF;Charge Port Door Position Sensor Circuit
DTC P04B6;Fuel Fill Door Stuck Closed
DTC P04B8 P04BA;Fuel Fill Door Position Sensor Circuit
DTC P04BB P04BC or P04C0;Fuel Fill Door Lock Control Circuit
DTC P04C8 P04CA or P04CB;Fuel Fill Door Open Request Switch Circuit
DTC P169D;"Fuel Fill Door Open Request Switch Wake-Up
Circuit Performance"
DTC C0176;"Control Module Temperature Sensor High
Temperature"
DTC C0460;Steering Wheel Angle Sensor
DTC C0475;Power Steering Motor Circuit Malfunction
DTC C0545;Steering Wheel Torque Sensor
DTC C055C;Steering Gear Performance Malfunction
DTC C0569;"Internal Check Sum Error/Calibration Not
Programmed/Configuration Not Programmed"
DTC C056D;"Electronic Control Unit Hardware (Power Steering
Control Module)"
DTC C056E;Electronic Control Unit Software
DTC C1436;Steering Wheel Angle Signal
DTC B0072 or B0073;Driver/Passenger Seat Belt Switch
DTC B059A;Passenger Seat Belt Indicator Circui
DTC B191A or B191B;Front/Rear Heated Seat Modul
DTC B3622;Steering Wheel Controls Signal Circuit
DTC B270A;"Park Lock Solenoid Control Circuit Short to
Battery/Groun"
DTC B0012 or B0013;"Driver Steering Wheel Air Bag Deployment Loop
Stage 1/Driver Steering Wheel Air Bag Deployment
Loop Stage 2"
DTC B0014 B0021 B0031 or B0038;Seat Side Air Bag Deployment Loops
DTC B0015 B001A B001B or B0022;"Seat Belt Retractor Pretensioner Deployment
Loops/Seat Belt Anchor Pretensioner Deployment
Loops"
DTC B0016 B0018 B0023 or B0025;"Left Roof Rail Air Bag Deployment Loop/Right
Roof Rail Air Bag Deployment Loop"
DTC B0017 or B0024;"Driver Knee Air Bag Deployment Loop/Passenger
Knee Air Bag Deployment Loop"
DTC B0019 or B0020;"Passenger Instrument Panel Air Bag Deployment
Loop Stage 1/Passenger Instrument Panel Air Ba"
DTC B0052;Deployment Commanded
DTC B0074;Passenger Presence Sensor
DTC B0081;Passenger Presence Module
DTC B0083 or B0084;Left Front Impact Sensor/Right Front Impact Sensor
DTC B0085 or B0088;"Left Front Side Impact Sensor/Right Rear Side
Impact Sensor"
DTC B0086 or B0087;"Right Front Side Impact Sensor/Left Rear Side
Impact Sensor"
DTC B067F or B0680;"Passenger Air Bag On Indicator Circuit/Passenger
Air Bag Off Indicator Circuit"
DTC B1001;"Option Configuration (Inflatable Restraint Sensing
and Diagnostic Module)"
DTC B1001;"Option Configuration Error (Passenger Presence
System)"
DTC B1019;System Configuration Error
DTC B291A;"Content Theft Deterrent Assembly Internal
Malfunction"
DTC B291B;Content Theft Deterrent Sensor
DTC C0569;System Configuration Malfunction
DTC C0750 C0755 C0760 or C0765;Front Tire Pressure Sensor
DTC C0775;"Tire Pressure Monitoring System Sensors Malfunction"
DTC B3715;Windshield Wiper Relay Circuit
DTC B371A;Windshield Wiper Motor Internal Malfunction
DTC B371C;Front Wiper Motor 2
DTC B097B;Power Mode Start Switch Circuit (1 Of 2)
DTC B097B;Power Mode Start Switch Circuit (2 Of 2)
DTC B097C;"Power Mode Run/Crank Indicator Circuit Short to
Ground"
DTC B1370;"Control Module Ignition On and Start Circuit
(Instrument Cluster)"
DTC B144A;Run Power Relay Circuit
DTC B144B;Run/Crank Power Relay Circuit
DTC B1451;Accessory Power Circuit
DTC B305E;Interruptible RAP Relay Circuit
DTC P15B9 or P15BA;"Electric A/C Compressor Control Module Ignition
On/Start Switch Circuit Voltage"
DTC P1A5E or P1A5F;"Battery Energy Control Module Ignition On/Start
Switch Circuit Low Voltage"
DTC P1A60;"Battery Energy Control Module Ignition Accessory
Switch Circuit Low Voltage"
DTC P2534 or P2535;Ignition On/Start Switch Circuit Voltage
DTC P2537;Ignition Accessory Switch Circuit Low Voltag
U0001;High Speed CAN Bus Malfunction
U0002;High Speed CAN Bus
U0009;High Speed CAN Bus [-] Shorted to Bus [+]
U0020;Low Speed CAN Bus
U0028;MOST Bus
U0029;MOST Bus Performance
U0073;Control Module Communication Bus A Off
;Control Module Communication High Speed CAN Bus Off
U0074;Control Module Communication Bus B Off
;Control Module Communication Powertrain Expansion CAN Bus Off
U0075;Control Module Communication Object Detection CAN Bus Off
U0076;Control Module Communication Powertrain Sensor CAN Bus Off
U0077;Control Module Communication Chassis Expansion CAN Bus Off
U0078;Control Module Communication Low Speed CAN Bus Off
U007A;Control Module Communication High Voltage Energy Management CAN Bus Off
U007B;Control Module Communication High Speed Extension CAN Bus Off
U007C;Control Module Communication High Speed Extension CAN Bus 2 Off
U007D;Control Module Communication Low Speed Extension CAN Bus Off
U007E;Control Module Communication FlexRay 1A Bus Off
U007F;Control Module Communication FlexRay 1B Bus Off
U0100;Lost Communication With Engine Control Module
U0101;Lost Communication With Transmission Control Module
U0102;Lost Communication with Transfer Case Control Module
U0103;Lost Communication with Shift Lever Module
U0104;Lost Communication With Cruise Control Module
U0105;Lost Communication with Fuel Injector Control Module
U0106;Lost Communication with Glow Plug Control Module
U0109;Lost Communication with Fuel Pump Control Module (2013 and prior)
;Lost Communication with Chassis Control Module (2014 and beyond)
U010C;Lost Communication with Turbocharger Boost Control Module
U010E;Lost Communication with Reductant Sensor Module
U010F;Lost Communication with Air Conditioning Control Module
U0111;Lost Communication with Battery Energy Control Module
U0112;Lost Communication with Battery Energy Control Module
U0114;Lost Communication with Four Wheel Drive Clutch Control Module
U0115;Lost Communication with Engine Control Module B
U0117;Lost Communication With Power Take-Off Control Module
U0121;Lost Communication With Electronic Brake Control Module
U0122;Lost Communication With Vehicle Stability Control Module
U0123;Lost Communication with Yaw Rate Sensor Module
U0125;Lost Communication With Multi-Axis Acceleration Sensor Module
U0126;Lost Communication With Steering Wheel Angle Sensor Module
U0128;Lost Communication With Park Brake Control Module
U0129;Lost Communication with Brake System Control Module
U012A;Lost Communication With Chassis Control Module
U0130;Lost Communication With Power Steering Control Module
U0131;Lost Communication With Power Steering Control Module
U0132;Lost Communication With Suspension Control Module
U0133;Lost Communication With Air Suspension Control Module
U0134;Lost Communication with Power Steering Control Module - Rear
U0136;Lost Communication With Differential Control Module - Rear
U0137;Lost Communication with Trailer Brake Control Module
U0139;Lost Communication With Suspension Control Module 2
U0140;Lost Communication With Body Control Module
U0146;Lost Communication with Serial Data Gateway Module
U0151;Lost Communication With Inflatable Restraint Sensing and Diagnostic Module
U0154;Lost Communication with Passenger Presence Module
U0155;Lost Communication With Instrument Cluster
U0158;Lost Communication With Head-Up Display
U0159;Lost Communication With Parking Assist Control Module
U0160;Lost Communication With Chime Alarm Control Module
U0164;Lost Communication with HVAC Control Module
U0166;Lost Communication with Auxiliary Heater Control Module
U0167;Lost Communication with Immobilizer Control Module
U0168;Lost Communication With Keyless Entry Control Module
U016B;Lost Communication with Electric A/C Compressor Control Module
U0170;Lost Communication with Passenger Presence Detection Sensor Module
U017E;Lost Communication with Seat Belt Retractor Motor Module
U0181;Lost Communication with Automatic Headlamp Leveling Control Module
U0182;Lost Communication With Lighting Control Module - Front
U0184;Lost Communication With Radio
U0186;Lost Communication With Speaker Amplifier Module
U0196;Lost Communication With Rear Audio Control Module
U0191;Lost Communication With Television
U0193;Lost Communication With Digital Radio Receiver Control Module
U0197;Lost Communication With Telephone Control Module
U0198;Lost Communication with Telematics Communication Interface Control Module
U019E;Lost Communication With Transmission Range Control Module
U01A0;Lost Communication with Hybrid/EV Battery Interface Control Module 1
U01A1;Lost Communication with Hybrid/EV Battery Interface Control Module 2
U01A2;Lost Communication with Hybrid/EV Battery Interface Control Module 3
U01A3;Lost Communication with Hybrid/EV Battery Interface Control Module 4
U01A4;Lost Communication with Hybrid/EV Battery Interface Control Module 5
U01A5;Lost Communication with Hybrid/EV Battery Interface Control Module 6
U01A6;Lost Communication with Hybrid/EV Battery Interface Control Module 7
U01A7;Lost Communication with Hybrid/EV Battery Interface Control Module 8
U01B0;Lost Communication with Battery Monitor Module
U01B4;Lost Communication with Brake System Control Module 2
U0201;Lost Communication with Passenger Door Switch Panel Control Module
U0203;Lost Communication With Left Rear Door Switch Panel Control Module
U0204;Lost Communication With Right Rear Door Switch Panel Control Module
U0207;Lost Communication With Moveable Roof Control Module
U0208;Lost Communication with Seat Memory Control Module
U0209;Lost Communication With Front Seat Heating Control Module
U0210;Lost Communication With Rear Seat Heating Control Module
U0230;Lost Communication With Liftgate Control Module
U0231;Lost Communication with Rain Sensor Module
U0232;Lost Communication with Side Object Detection Control Module - Left
U0233;Lost Communication with Side Object Detection Control Module - Right
U0236;Lost Communication With Steering Column Lock Module
U0237;Lost Communication With Multimedia Player Interface Module
U023A;"Lost Communication With Vehicle Direction Camera Control Module (without UGN)"
;Lost Communication With Active Safety Control Module 1 (with UGN)
U023B;Lost Communication with Active Safety Control Module 2
U023C;Lost Communication with Night Vision Camera Control Module
U0241;Lost Communication With Left Headlamp High Beam Control Module
U0242;Lost Communication With Right Headlamp High Beam Control Module
U0248;Lost Communication with Remote Accessory Module
U0249;Lost Communication with Rear Seat Entertainment Control Module
U0250;Lost Communication with Impact Classification System Module
U0252;Lost Communication With Trailer Interface Control Module
U0253;Lost Communication with Accessory Protocol Interface Module
U0254;Lost Communication With Remote Start Module
U0255;Lost Communication With Info Display Module
U0256;Lost Communication With Infotainment Faceplate Control Module
U0257;"Lost Communication With Info Display Module/Infotainment Faceplate Control Module"
U0259;Lost Communication with Special Purpose Vehicle Control Module
U025B;"Lost Communication with Special Purpose Vehicle Control Module ""C"""
U025C;"Lost Communication with Special Purpose Vehicle Control Module ""D"""
U0264;Lost Communication With Camera Module - Rear
U0265;Lost Communication with Left Front Short Range Radar Sensor Module
U0266;Lost Communication with Night Vision Camera
U0268;Lost Communication with Right Front Short Range Radar Sensor Module
U0269;Lost Communication with Front Long Range Object Sensor
U026A;Lost Communication with Frontview Camera Module
U026B;Lost Communication with Rear Short Range Object Sensor
;Lost Communication with Left Rear Short Range Radar Sensor Module
U026C;Lost Communication with Right Rear Short Range Radar Sensor Module
U026D;Lost Communication with Rear Middle Short Range Radar Sensor Module
U0284;Lost Communication with Active Grille Air Shutter 1 Motor Module
U0285;Lost Communication with Active Grille Air Shutter 2 Motor Module
U0293;Lost Communication with Hybrid/EV Powertrain Control Module
U0298;Lost Communication with DC/DC Converter Control Module
U029D;Lost Communication with NOx Sensor 1 Module
U029E;Lost Communication with NOx Sensor 2 Module
U02A3;Lost Communication With Particulate Matter Sensor Module
U0301;Software Incompatibility with Engine Control Module
U0302;Software Incompatibility with Transmission Control Module
U0305;Software Incompatibility With Cruise Control Module
U0315;Software Incompatibility with Electronic Brake Control Module
U031C;Software Incompatibility With Brake System Control Module 2
U0401;Invalid Data Received From Engine Control Module
U0402;Invalid Data Received From Transmission Control Module
U0403;Invalid Data Received From Transfer Case Control Module
U0405;Invalid Data Received From Cruise Control Module
U0414;Invalid Data Received From Four Wheel Drive Clutch Control Module
U0415;Invalid Data Received From Electronic Brake Control Module
U0416;Invalid Data Received From Vehicle Dynamics Control Module
U0417;Invalid Data Received From Park Brake Control Module
U0418;Invalid Data Received From Brake System Control Module
U0420;Invalid Data Received From Power Steering Control Module
U0421;Invalid Data Received From Suspension Control Module
U0422;Invalid Data Received From Body Control Module
U0423;Invalid Data Received From Instrument Cluster
U0424;Invalid Data Received From HVAC Control Module
U0428;Invalid Data Received From Steering Wheel Angle Sensor Module
U042B;Invalid Data Received From Chassis Control Module
U0431;"Invalid Data Received From Body Control Module ""A"""
U0432;Invalid Data Received From Multi-axis Acceleration Sensor Module
U0437;Invalid Data Received From Differential Control Module - Rear
U0438;Invalid Data Received From Trailer Brake Control Module
U0447;Invalid Data Received from Central Gateway Module
U0452;Invalid Data Received From Inflatable Restraint Sensing and Diagnostic Module
U045A;"Invalid Data Received From Parking Assist Control Module ""A"""
U0465;Invalid Data Received From Power Take-Off Control Module
U0499;Invalid Data Received From Telematics Communication Interface Control Module
U0513;Invalid Data Received From Yaw Rate Sensor Module
U053B;Invalid Data Received From Active Safety Control Module 1
U053C;Invalid Data Received From Active Safety Control Module 2
U056B;Invalid Data Received From Frontview Camera Module
U0594;Invalid Data Received From Hybrid/EV Powertrain Control Module
U063E;Lost Communication with Exhaust Heat Exchanger Exhaust Bypass Valve
U0656;Lost Communication with Turbocharger Boost Control Position Sensor
U0657;"Lost Communication with Turbocharger/Supercharger Bypass Valve ""A"" Position Sensor"
U1032;Lost Communication with Vehicle Dynamic Sensor 1
U1033;Lost Communication with Vehicle Dynamic Sensor 2
U1067;Lost Communication with Digital Map Control Module
U1069;Lost Communication with Driver Monitoring System Control Module
U106A;"Lost Communication with Multifunction Energy Storage Capacitor Control Module"
U106B;Lost Communication with Multifunction Battery Isolator Control Module
U1112;Lost Communication with Left Headlamp Leveling Device
U1113;Lost Communication with Right Headlamp Leveling Device
U1114;Lost Communication with Left Headlamp Vertical Motor
U1115;Lost Communication with Right Headlamp Vertical Motor
U1343;Chassis Control Module LIN Bus 1
U1345;Engine Control Module LIN Bus 1
U1347;Engine Control Module LIN Bus 3
U1359;Lost Communication with Transmission Range Indicator
U135A;Lost Communication with Shift to Park Range Act
U135B;Lost Communication with Sunload Sensor
U135C;Lost Communication with Start-Stop Capacitor Control Module
U135D;"Lost Communication with Transmission Control Module on Chassis Control
Module LIN Bus 2"
U135E;"Lost Communication with Transmission Control Module on Engine Control Module LIN Bus 1"
U1501;LIN Bus
U1502;LIN Bus
U1505;LIN Bus
U1509;LIN Bus
;"A26 HVAC Controls / P17 Info Display Module Lost Communication with K33 HVAC Control Module on LIN Bus"
U150E;LIN Bus
;"A22 Radio Controls / P17 Info Display Module Lost Communication with A11 Radio on LIN Bus"
U150F;LIN Bus
;"A22 Radio Controls / P17 Info Display Module Lost Communication with K74 Human Machine Interface Control Module on LIN Bus"
;"K161 Vehicle Performance Data Recorder Lost Communication with K74 Human Machine Interface Control Module on LIN Bus"
U1510;"A11 Radio Lost Communication with A20 Radio/HVAC Control / P17 Info Display Module on LIN Bus"
;"K9 Body Control Module Lost Communication with B67 Ultrasonic Intrusion Sensor / B165 Content Theft Deterrent Sensor Module on LIN Bus"
;"K20 Engine Control Module Lost Communication with M96 Active Grille Air Shutter Actuator / M60A Active Grille Air Shutter 1 Motor Module on LIN Bus"
;"K33 HVAC Control Module Lost Communication with A26 HVAC Controls / A20 Radio/HVAC Controls / P17 Info Display Module on LIN Bus"
;"K33 HVAC Control Module Lost Communication with A34 HVAC Controls - Auxiliary on LIN Bus"
;"K39 Liftgate Control Module Lost Communication with K171 Hands-Free Liftgate Sensor Control Module / S45A Liftgate Control Switch - Exterior on LIN Bus"
;"P16 Instrument Cluster Lost Communication with S70D Steering Wheel Controls Switch - Right Upper / S70R Steering Wheel Controls Switch - Right on LIN Bus"
U1511;"K20 Engine Control Module Lost Communication with M60B Active Grille Air Shutter 2 Motor Module on LIN Bus"
;"K26 Headlamp Control Module / K28 Headlamp Leveling Control Module Lost Communication with E13L Headlamp - Left on LIN Bus"
;"K40 Seat Memory Control Module Lost Communication with K99 Steering Column Position Control Module on LIN Bus"
;"K183 UHF Short Range Low Energy Remote Control Access Transceiver Lost Communication with B342A UHF Low Energy Remote Control Access Sensor Transceiver 1 on LIN Bus"
U1512;"K26 Headlamp Control Module / K28 Headlamp Leveling Control Module Lost Communication with E13R Headlamp - Right on LIN Bus"
;"K124B Active Safety Control Module 2 Lost Communication with K187 Steering Column Friction Control Module on LIN Bus"
;"K183 UHF Short Range Low Energy Remote Control Access Transceiver Lost Communication with B342B UHF Low Energy Remote Control Access Sensor Transceiver 2 on LIN Bus"
U1513;"K26 Headlamp Control Module / K28 Headlamp Leveling Control Module Lost Communication with E13L Headlamp - Left on LIN Bus"
;"K183 UHF Short Range Low Energy Remote Control Access Transceiver Lost Communication with B342C UHF Low Energy Remote Control Access Sensor Transceiver 3 on LIN Bus"
U1514;"K26 Headlamp Control Module / K28 Headlamp Leveling Control Module Lost Communication with E13R Headlamp - Right on LIN Bus"
;"K33 HVAC Control Module Lost Communication with A34 HVAC Controls - Auxiliary on LIN Bus"
;"K183 UHF Short Range Low Energy Remote Control Access Transceiver Lost Communication with B342D UHF Low Energy Remote Control Access Sensor Transceiver 4 on LIN Bus"
U1515;"K9 Body Control Module Lost Communication with M75 Windshield Wiper Motor / M75L Windshield Wiper Motor Module - Left on LIN Bus"
;"K183 UHF Short Range Low Energy Remote Control Access Transceiver Lost Communication with B342E UHF Low Energy Remote Control Access Sensor Transceiver 5 on LIN Bus"
U1516;"K9 Body Control Module Lost Communication with B110 Battery Sensor Module on LIN Bus"
U1517;"K9 Body Control Module Lost Communication with K62 Sunroof Sunshade Motor Module on LIN Bus"
U1518;"P16 Instrument Cluster Lost Communication with K78 Head-Up Display Module / P29 Head-Up Display on LIN Bus"
U1519;"K40 Seat Memory Control Module Lost Communication with S52 Outside Rearview Mirror Switch on LIN Bus"
;"K40 Seat Memory Control Module Lost Communication with K96 Mirror Control Module / K96D Mirror Control Module - Driver / K96L Mirror Control Module - Left on LIN Bus"
U151A;"K9 Body Control Module Lost Communication with B117 Rain Sensor / B177 Rain/Ambient Light Sensor Module / B200 Rain Sensor Module on LIN Bus"
U151B;"K9 Body Control Module Lost Communication with K61 Sunroof Control Module on LIN Bus"
;"K40 Seat Memory Control Module Lost Communication with S79P Window Switch - Passenger on LIN Bus"
U151C;"K33 HVAC Control Module Lost Communication with A34 HVAC Controls - Auxiliary / K33A HVAC Control Module - Auxiliary on LIN Bus"
DTC;DTC Descriptor
U151F;"A11 Radio Lost Communication with A20 Radio/HVAC Controls / A22 Radio Controls / P17 Info Display Module on LIN Bus"
U1520;"K9 Body Control Module Lost Communication with P4 Security Siren / P25 Power Sounder Content Theft Deterrent Alarm Module on LIN Bus"
